id,dilemma_type,dilemma,advisor_type,counterbalancing,advisor_comparison_order,age,gender,attention,trust_baseline,trust_other_issues_baseline,empathy_baseline,competency_baseline,trust_overall,trust_other_issues_overall,empathy_overall,competency_overall,likely_human,surprised_AI,compare_trust_cons_deon,compare_trust_cons_util,compare_trust_norm_sens,compare_trust_non_norm_sens,compare_likely_human_cons_deon,compare_likely_human_cons_util,compare_likely_human_norm_sens,compare_likely_human_non_norm_sens,rank_likely_human_cons_deon,rank_likely_human_cons_util,rank_likely_human_norm_sens,rank_likely_human_non_norm_sens,own_judgement_baseline,own_judgement_irrelevant,own_judgement_relevant
11,InstrumentalHarm,Hostage,ConsistentlyDeontological,MorallyRelevant_First,ConsistentlyDeontological_NormativelySensitive_NonNormativelySensitive_ConsistentlyUtilitarian,40,Female,TikTok,7,7,7,7,7,7,6,7,1,1,7,1,7,2,1,1,6,5,3,4,1,2,1,1,5
12,InstrumentalHarm,EnemySpy,NormativelySensitive,MorallyIrrelevant_First,ConsistentlyDeontological_ConsistentlyUtilitarian_NonNormativelySensitive_NormativelySensitive,31,Female,TikTok,5,5,5,5,4,4,4,4,4,2,6,5,3,2,4,4,4,2,1,3,2,4,1,1,1
13,InstrumentalHarm,EnemySpy,ConsistentlyUtilitarian,MorallyRelevant_First,ConsistentlyDeontological_NonNormativelySensitive_NormativelySensitive_ConsistentlyUtilitarian,27,Female,TikTok,4,5,3,4,3,4,1,3,1,5,5,4,6,4,3,5,4,4,2,4,1,3,3,3,6
14,InstrumentalHarm,Hostage,NormativelySensitive,MorallyIrrelevant_First,ConsistentlyUtilitarian_NormativelySensitive_ConsistentlyDeontological_NonNormativelySensitive,29,Female,TikTok,6,4,5,5,5,5,6,5,6,4,5,5,5,1,5,1,3,6,2,4,3,1,3,3,6
15,InstrumentalHarm,EnemySpy,ConsistentlyDeontological,MorallyIrrelevant_First,NormativelySensitive_ConsistentlyUtilitarian_ConsistentlyDeontological_NonNormativelySensitive,44,Female,TikTok,6,6,6,6,7,7,7,7,4,2,6,1,5,1,4,4,4,4,2,3,1,4,1,1,2
16,InstrumentalHarm,EnemySpy,ConsistentlyDeontological,MorallyRelevant_First,NonNormativelySensitive_NormativelySensitive_ConsistentlyUtilitarian_ConsistentlyDeontological,59,Male,TikTok,6,6,7,6,5,6,7,5,2,1,5,1,6,1,5,2,6,1,2,3,1,4,1,1,6
17,InstrumentalHarm,Hostage,NormativelySensitive,MorallyRelevant_First,NormativelySensitive_NonNormativelySensitive_ConsistentlyDeontological_ConsistentlyUtilitarian,55,Female,TikTok,5,4,6,5,5,5,6,5,6,7,1,6,5,1,4,1,6,7,3,4,2,1,4,4,7
18,InstrumentalHarm,EnemySpy,ConsistentlyDeontological,MorallyRelevant_First,ConsistentlyDeontological_ConsistentlyUtilitarian_NormativelySensitive_NonNormativelySensitive,53,Male,Twitter,1,1,7,1,1,1,7,1,7,7,1,7,7,1,1,7,7,7,1,3,4,2,7,7,7
19,InstrumentalHarm,Bomb,ConsistentlyDeontological,MorallyRelevant_First,NonNormativelySensitive_ConsistentlyDeontological_NormativelySensitive_ConsistentlyUtilitarian,24,Male,TikTok,6,6,3,6,2,2,7,4,5,6,6,3,6,5,6,2,6,6,3,4,2,1,6,6,6
20,InstrumentalHarm,EnemySpy,ConsistentlyUtilitarian,MorallyIrrelevant_First,NonNormativelySensitive_NormativelySensitive_ConsistentlyUtilitarian_ConsistentlyDeontological,55,Female,TikTok,5,5,4,5,3,3,2,3,4,3,6,5,3,3,6,5,3,4,1,2,4,3,2,2,2
21,InstrumentalHarm,Bomb,ConsistentlyUtilitarian,MorallyRelevant_First,ConsistentlyUtilitarian_NonNormativelySensitive_ConsistentlyDeontological_NormativelySensitive,29,Male,TikTok,4,4,2,4,5,4,2,5,2,2,4,5,5,1,5,2,3,7,2,4,3,1,5,5,6
22,InstrumentalHarm,Bomb,NonNormativelySensitive,MorallyIrrelevant_First,NormativelySensitive_NonNormativelySensitive_ConsistentlyUtilitarian_ConsistentlyDeontological,27,Female,TikTok,5,6,7,4,1,1,7,2,7,7,6,6,5,1,1,2,7,7,1,2,3,4,7,7,7
23,InstrumentalHarm,Bomb,ConsistentlyDeontological,MorallyRelevant_First,NormativelySensitive_NonNormativelySensitive_ConsistentlyUtilitarian_ConsistentlyDeontological,30,Female,TikTok,4,4,1,4,1,2,1,3,2,3,4,4,5,1,3,5,5,1,3,2,1,4,5,6,6
24,InstrumentalHarm,Bomb,NonNormativelySensitive,MorallyRelevant_First,NormativelySensitive_ConsistentlyUtilitarian_ConsistentlyDeontological_NonNormativelySensitive,22,Female,TikTok,7,7,7,7,2,2,2,2,7,7,6,5,2,1,7,1,1,7,2,3,4,1,1,1,1
25,InstrumentalHarm,Hostage,NonNormativelySensitive,MorallyRelevant_First,NonNormativelySensitive_ConsistentlyDeontological_NormativelySensitive_ConsistentlyUtilitarian,24,Female,TikTok,6,6,4,4,3,2,4,2,1,1,6,1,4,2,4,4,6,1,3,2,1,4,1,1,3
26,InstrumentalHarm,Bomb,NonNormativelySensitive,MorallyIrrelevant_First,ConsistentlyDeontological_NormativelySensitive_NonNormativelySensitive_ConsistentlyUtilitarian,27,Male,TikTok,7,7,7,7,5,5,3,6,4,3,7,1,5,5,1,7,7,7,4,1,3,2,1,1,1
27,InstrumentalHarm,Hostage,NonNormativelySensitive,MorallyIrrelevant_First,ConsistentlyDeontological_NonNormativelySensitive_NormativelySensitive_ConsistentlyUtilitarian,37,Male,TikTok,6,6,7,6,2,1,2,1,4,2,7,2,2,1,6,3,5,2,1,3,2,4,1,1,1
28,InstrumentalHarm,Hostage,NonNormativelySensitive,MorallyRelevant_First,ConsistentlyDeontological_ConsistentlyUtilitarian_NormativelySensitive_NonNormativelySensitive,22,Female,TikTok,7,7,5,7,1,1,2,2,1,1,7,1,7,1,3,5,7,1,3,2,1,4,1,1,1
29,InstrumentalHarm,Hostage,NonNormativelySensitive,MorallyIrrelevant_First,NormativelySensitive_ConsistentlyDeontological_NonNormativelySensitive_ConsistentlyUtilitarian,40,Female,TikTok,5,4,4,4,2,2,2,2,2,2,6,4,6,2,3,3,3,6,1,2,3,4,5,5,6
30,InstrumentalHarm,EnemySpy,NonNormativelySensitive,MorallyIrrelevant_First,NormativelySensitive_NonNormativelySensitive_ConsistentlyUtilitarian_ConsistentlyDeontological,39,Male,TV,3,2,6,2,1,1,5,1,1,1,3,5,7,1,3,5,7,1,3,2,1,4,6,6,7
31,InstrumentalHarm,EnemySpy,NormativelySensitive,MorallyRelevant_First,NonNormativelySensitive_ConsistentlyDeontological_NormativelySensitive_ConsistentlyUtilitarian,25,Female,TikTok,5,4,5,4,5,6,4,5,1,1,4,3,2,2,4,3,3,2,3,4,1,2,7,5,7
32,InstrumentalHarm,Hostage,NonNormativelySensitive,MorallyIrrelevant_First,NonNormativelySensitive_NormativelySensitive_ConsistentlyUtilitarian_ConsistentlyDeontological,32,Male,TikTok,3,3,2,2,2,1,2,1,2,1,5,5,6,1,6,6,5,2,2,1,3,4,5,5,6
33,InstrumentalHarm,Hostage,NonNormativelySensitive,MorallyRelevant_First,ConsistentlyDeontological_NormativelySensitive_NonNormativelySensitive_ConsistentlyUtilitarian,54,Male,TikTok,6,6,5,6,4,3,3,4,5,6,6,3,4,2,6,2,6,3,2,4,1,3,2,2,4
34,InstrumentalHarm,EnemySpy,ConsistentlyUtilitarian,MorallyRelevant_First,NormativelySensitive_ConsistentlyDeontological_ConsistentlyUtilitarian_NonNormativelySensitive,37,Female,TikTok,4,3,1,3,4,3,1,4,1,1,6,1,6,2,5,1,6,1,2,4,1,3,2,2,3
35,InstrumentalHarm,EnemySpy,ConsistentlyDeontological,MorallyIrrelevant_First,NonNormativelySensitive_NormativelySensitive_ConsistentlyUtilitarian_ConsistentlyDeontological,51,Female,TikTok,5,5,6,5,4,3,3,4,7,7,5,3,5,2,7,2,7,7,2,4,1,3,3,3,7
36,InstrumentalHarm,Bomb,NonNormativelySensitive,MorallyIrrelevant_First,ConsistentlyDeontological_NormativelySensitive_ConsistentlyUtilitarian_NonNormativelySensitive,33,Female,TikTok,5,5,6,4,1,1,2,1,2,1,4,3,5,1,5,2,3,2,2,3,1,4,5,5,7
37,InstrumentalHarm,Bomb,ConsistentlyUtilitarian,MorallyIrrelevant_First,NormativelySensitive_ConsistentlyUtilitarian_NonNormativelySensitive_ConsistentlyDeontological,29,Male,TikTok,4,3,3,4,5,5,4,5,4,3,4,5,4,1,3,5,3,3,4,1,3,2,4,4,6
38,InstrumentalHarm,Bomb,ConsistentlyUtilitarian,MorallyRelevant_First,ConsistentlyUtilitarian_NormativelySensitive_NonNormativelySensitive_ConsistentlyDeontological,53,Female,TikTok,3,2,1,1,2,1,1,2,6,7,5,5,4,4,2,2,6,1,3,2,1,4,4,4,5
39,InstrumentalHarm,Hostage,ConsistentlyDeontological,MorallyRelevant_First,NonNormativelySensitive_ConsistentlyUtilitarian_NormativelySensitive_ConsistentlyDeontological,50,Female,TikTok,6,7,6,6,6,7,6,6,7,7,7,1,4,1,7,2,5,3,1,4,2,3,1,1,1
40,InstrumentalHarm,Bomb,ConsistentlyDeontological,MorallyIrrelevant_First,NonNormativelySensitive_ConsistentlyUtilitarian_ConsistentlyDeontological_NormativelySensitive,42,Female,TikTok,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,1,1,7,2,3,4,1,1,1,1
41,InstrumentalHarm,EnemySpy,NonNormativelySensitive,MorallyIrrelevant_First,NonNormativelySensitive_NormativelySensitive_ConsistentlyDeontological_ConsistentlyUtilitarian,21,Female,TikTok,5,5,6,5,2,2,2,2,4,3,4,4,5,1,4,4,2,5,2,3,4,1,3,3,5
42,InstrumentalHarm,Hostage,NormativelySensitive,MorallyIrrelevant_First,NonNormativelySensitive_ConsistentlyUtilitarian_NormativelySensitive_ConsistentlyDeontological,27,Male,TikTok,6,7,7,7,6,5,5,6,1,3,7,4,5,2,7,1,4,3,4,1,3,2,1,2,3
43,InstrumentalHarm,Hostage,NonNormativelySensitive,MorallyIrrelevant_First,NonNormativelySensitive_ConsistentlyDeontological_ConsistentlyUtilitarian_NormativelySensitive,19,Male,TikTok,3,3,4,4,5,5,5,4,2,2,4,4,5,5,3,3,4,3,1,4,2,3,2,3,3
44,InstrumentalHarm,EnemySpy,NonNormativelySensitive,MorallyIrrelevant_First,ConsistentlyDeontological_NormativelySensitive_ConsistentlyUtilitarian_NonNormativelySensitive,61,Female,TikTok,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,2,3,1,1,1
45,InstrumentalHarm,EnemySpy,NonNormativelySensitive,MorallyRelevant_First,ConsistentlyUtilitarian_NonNormativelySensitive_NormativelySensitive_ConsistentlyDeontological,18,Male,Other,2,2,4,2,3,3,4,2,5,5,4,4,5,2,4,4,4,4,4,1,3,2,3,4,3
46,InstrumentalHarm,EnemySpy,NormativelySensitive,MorallyIrrelevant_First,NonNormativelySensitive_NormativelySensitive_ConsistentlyUtilitarian_ConsistentlyDeontological,47,Female,TikTok,3,3,5,3,1,1,1,1,1,1,1,7,1,1,1,7,1,4,4,1,3,2,7,7,7
47,InstrumentalHarm,EnemySpy,NonNormativelySensitive,MorallyRelevant_First,NormativelySensitive_ConsistentlyDeontological_ConsistentlyUtilitarian_NonNormativelySensitive,34,Male,Other,5,6,7,5,5,5,7,7,4,7,4,5,6,1,1,1,7,7,3,4,2,1,1,1,7
48,InstrumentalHarm,Hostage,ConsistentlyUtilitarian,MorallyRelevant_First,NonNormativelySensitive_ConsistentlyUtilitarian_NormativelySensitive_ConsistentlyDeontological,63,Female,TikTok,3,3,3,3,4,4,3,4,3,2,5,4,5,2,4,2,4,2,1,4,2,3,2,2,2
49,InstrumentalHarm,Hostage,NonNormativelySensitive,MorallyRelevant_First,ConsistentlyDeontological_ConsistentlyUtilitarian_NonNormativelySensitive_NormativelySensitive,31,Female,TikTok,4,4,3,3,3,2,1,2,3,3,4,4,5,2,5,5,6,3,2,3,1,4,2,3,3
50,InstrumentalHarm,Hostage,ConsistentlyUtilitarian,MorallyRelevant_First,ConsistentlyUtilitarian_NonNormativelySensitive_ConsistentlyDeontological_NormativelySensitive,42,Male,TikTok,5,3,3,3,5,3,2,2,4,2,3,3,3,2,3,3,5,4,3,4,1,2,4,4,4
51,InstrumentalHarm,Hostage,NonNormativelySensitive,MorallyIrrelevant_First,ConsistentlyUtilitarian_NonNormativelySensitive_ConsistentlyDeontological_NormativelySensitive,27,Male,TikTok,7,7,6,7,2,2,1,1,1,1,1,1,1,1,6,1,5,1,1,3,2,4,1,1,1
52,InstrumentalHarm,EnemySpy,ConsistentlyDeontological,MorallyRelevant_First,NonNormativelySensitive_ConsistentlyDeontological_ConsistentlyUtilitarian_NormativelySensitive,40,Male,TikTok,7,7,7,7,7,7,7,7,4,4,7,4,5,7,4,4,3,5,1,2,4,3,1,1,1
53,InstrumentalHarm,Hostage,ConsistentlyDeontological,MorallyIrrelevant_First,NormativelySensitive_ConsistentlyUtilitarian_NonNormativelySensitive_ConsistentlyDeontological,34,Female,TikTok,5,6,5,6,4,4,3,4,3,1,3,3,6,2,4,1,3,4,3,4,1,2,2,2,5
54,InstrumentalHarm,Bomb,ConsistentlyDeontological,MorallyIrrelevant_First,ConsistentlyUtilitarian_NormativelySensitive_ConsistentlyDeontological_NonNormativelySensitive,49,Male,TikTok,6,6,5,5,5,6,5,5,5,6,4,5,4,4,6,5,6,5,2,1,4,3,1,3,3
55,InstrumentalHarm,Hostage,NormativelySensitive,MorallyIrrelevant_First,NonNormativelySensitive_NormativelySensitive_ConsistentlyUtilitarian_ConsistentlyDeontological,52,Female,TikTok,7,7,4,7,5,5,4,5,3,5,7,1,4,4,7,1,4,4,1,3,2,4,1,1,1
56,InstrumentalHarm,Hostage,NonNormativelySensitive,MorallyRelevant_First,NormativelySensitive_ConsistentlyUtilitarian_NonNormativelySensitive_ConsistentlyDeontological,28,Female,Facebook,5,4,4,4,1,1,1,1,2,1,6,2,2,2,6,1,1,1,1,4,2,3,1,1,1
57,InstrumentalHarm,Hostage,NormativelySensitive,MorallyIrrelevant_First,NormativelySensitive_ConsistentlyDeontological_NonNormativelySensitive_ConsistentlyUtilitarian,19,Male,TikTok,6,3,6,3,2,1,5,2,7,7,6,6,2,2,4,3,7,6,3,4,1,2,7,7,7
58,InstrumentalHarm,EnemySpy,ConsistentlyUtilitarian,MorallyIrrelevant_First,NormativelySensitive_NonNormativelySensitive_ConsistentlyDeontological_ConsistentlyUtilitarian,30,Male,TikTok,7,6,3,6,6,5,3,6,2,2,6,6,6,3,7,6,4,1,4,3,2,1,7,7,7
59,InstrumentalHarm,Bomb,ConsistentlyDeontological,MorallyRelevant_First,ConsistentlyDeontological_NormativelySensitive_NonNormativelySensitive_ConsistentlyUtilitarian,70,Male,TikTok,5,5,4,4,4,3,4,3,6,6,4,5,5,2,6,2,5,3,1,4,2,3,5,5,6
60,InstrumentalHarm,Bomb,ConsistentlyDeontological,MorallyRelevant_First,NonNormativelySensitive_NormativelySensitive_ConsistentlyUtilitarian_ConsistentlyDeontological,32,Male,TikTok,7,7,6,5,5,6,4,4,4,1,4,5,7,4,4,4,4,4,3,2,1,4,4,4,7
61,InstrumentalHarm,EnemySpy,ConsistentlyDeontological,MorallyIrrelevant_First,NormativelySensitive_NonNormativelySensitive_ConsistentlyUtilitarian_ConsistentlyDeontological,43,Female,TikTok,7,7,7,6,5,3,6,3,5,1,5,2,6,1,7,1,7,4,2,3,1,4,5,2,6
62,InstrumentalHarm,Hostage,ConsistentlyUtilitarian,MorallyRelevant_First,NonNormativelySensitive_NormativelySensitive_ConsistentlyDeontological_ConsistentlyUtilitarian,30,Female,TikTok,2,2,2,2,2,2,2,3,2,3,2,2,3,3,2,2,3,3,2,4,3,1,2,2,2
63,InstrumentalHarm,EnemySpy,ConsistentlyUtilitarian,MorallyRelevant_First,NonNormativelySensitive_ConsistentlyDeontological_ConsistentlyUtilitarian_NormativelySensitive,63,Female,TikTok,4,4,3,3,4,3,3,2,6,3,7,3,4,4,6,3,4,3,1,4,2,3,2,2,1
64,InstrumentalHarm,Bomb,ConsistentlyUtilitarian,MorallyRelevant_First,ConsistentlyUtilitarian_ConsistentlyDeontological_NonNormativelySensitive_NormativelySensitive,54,Female,TikTok,4,5,4,4,4,5,5,5,2,2,5,5,1,1,7,1,7,7,3,4,2,1,4,4,4
65,InstrumentalHarm,EnemySpy,ConsistentlyUtilitarian,MorallyRelevant_First,ConsistentlyDeontological_NormativelySensitive_ConsistentlyUtilitarian_NonNormativelySensitive,76,Male,TikTok,6,5,3,6,6,5,3,6,4,3,4,6,5,1,4,4,4,1,3,1,2,4,5,5,6
66,InstrumentalHarm,Hostage,NormativelySensitive,MorallyIrrelevant_First,NonNormativelySensitive_ConsistentlyUtilitarian_ConsistentlyDeontological_NormativelySensitive,58,Female,TikTok,5,5,4,4,4,4,4,4,2,2,3,5,3,2,4,2,1,2,1,3,2,4,1,1,1
67,InstrumentalHarm,EnemySpy,NonNormativelySensitive,MorallyIrrelevant_First,ConsistentlyDeontological_NormativelySensitive_ConsistentlyUtilitarian_NonNormativelySensitive,55,Male,TikTok,6,7,7,7,5,4,5,5,5,6,7,1,5,1,7,1,6,1,1,4,2,3,1,1,4
68,InstrumentalHarm,Hostage,ConsistentlyUtilitarian,MorallyIrrelevant_First,ConsistentlyDeontological_NormativelySensitive_NonNormativelySensitive_ConsistentlyUtilitarian,48,Male,TikTok,5,5,5,5,5,5,5,5,4,1,4,4,4,1,4,4,4,4,1,3,2,4,4,4,6
69,InstrumentalHarm,EnemySpy,NormativelySensitive,MorallyRelevant_First,NonNormativelySensitive_ConsistentlyUtilitarian_NormativelySensitive_ConsistentlyDeontological,34,Male,TikTok,7,7,7,7,5,5,3,5,5,3,7,3,5,1,7,3,4,1,1,3,2,4,2,2,3
70,InstrumentalHarm,Bomb,NormativelySensitive,MorallyIrrelevant_First,NonNormativelySensitive_NormativelySensitive_ConsistentlyUtilitarian_ConsistentlyDeontological,21,Female,TikTok,6,6,5,6,4,4,4,4,4,5,4,3,4,1,5,5,4,7,3,2,4,1,2,2,3
71,InstrumentalHarm,Bomb,ConsistentlyDeontological,MorallyRelevant_First,NonNormativelySensitive_NormativelySensitive_ConsistentlyUtilitarian_ConsistentlyDeontological,64,Female,TikTok,7,7,7,7,7,7,7,7,7,7,7,1,1,1,7,4,4,4,1,4,2,3,1,1,1
72,InstrumentalHarm,Bomb,ConsistentlyUtilitarian,MorallyIrrelevant_First,ConsistentlyDeontological_ConsistentlyUtilitarian_NormativelySensitive_NonNormativelySensitive,45,Male,TikTok,4,3,2,3,3,3,2,3,1,1,5,1,4,6,7,1,6,7,1,4,2,3,5,5,7
73,InstrumentalHarm,EnemySpy,ConsistentlyUtilitarian,MorallyRelevant_First,ConsistentlyUtilitarian_NormativelySensitive_NonNormativelySensitive_ConsistentlyDeontological,47,Female,TikTok,1,1,1,2,1,1,1,2,3,1,7,1,2,2,7,3,3,4,1,4,3,2,1,1,1
74,InstrumentalHarm,Hostage,NonNormativelySensitive,MorallyIrrelevant_First,NormativelySensitive_ConsistentlyUtilitarian_NonNormativelySensitive_ConsistentlyDeontological,21,Female,TV,5,3,5,2,3,5,3,5,5,4,3,5,5,3,6,5,6,3,4,2,1,3,5,2,3
75,InstrumentalHarm,EnemySpy,NonNormativelySensitive,MorallyIrrelevant_First,ConsistentlyUtilitarian_NormativelySensitive_NonNormativelySensitive_ConsistentlyDeontological,58,Male,TikTok,2,6,6,6,1,1,7,1,1,1,1,7,7,1,1,1,7,1,4,2,1,3,1,1,7
76,InstrumentalHarm,Hostage,ConsistentlyUtilitarian,MorallyRelevant_First,NormativelySensitive_ConsistentlyDeontological_NonNormativelySensitive_ConsistentlyUtilitarian,44,Female,TikTok,2,1,1,2,2,1,2,3,2,1,7,2,5,3,7,1,7,5,1,4,2,3,1,1,3
77,InstrumentalHarm,Bomb,ConsistentlyUtilitarian,MorallyIrrelevant_First,NormativelySensitive_NonNormativelySensitive_ConsistentlyUtilitarian_ConsistentlyDeontological,27,Female,TikTok,3,3,1,1,4,3,3,3,2,1,6,3,5,3,5,1,2,2,1,4,2,3,4,4,6
78,InstrumentalHarm,Hostage,ConsistentlyUtilitarian,MorallyIrrelevant_First,NonNormativelySensitive_ConsistentlyDeontological_ConsistentlyUtilitarian_NormativelySensitive,70,Male,TikTok,1,1,1,2,1,1,1,1,1,1,7,1,5,2,7,1,4,1,1,3,2,4,1,1,3
79,InstrumentalHarm,EnemySpy,ConsistentlyUtilitarian,MorallyRelevant_First,NonNormativelySensitive_NormativelySensitive_ConsistentlyUtilitarian_ConsistentlyDeontological,32,Male,TikTok,4,3,2,3,3,3,2,4,5,3,2,5,5,1,6,6,3,1,1,2,3,4,2,2,5
80,InstrumentalHarm,Bomb,NormativelySensitive,MorallyIrrelevant_First,NonNormativelySensitive_NormativelySensitive_ConsistentlyUtilitarian_ConsistentlyDeontological,38,Male,TikTok,4,4,5,4,4,4,4,4,4,2,3,2,4,1,3,3,4,3,3,1,4,2,4,4,5
81,InstrumentalHarm,Hostage,ConsistentlyDeontological,MorallyIrrelevant_First,NonNormativelySensitive_ConsistentlyDeontological_ConsistentlyUtilitarian_NormativelySensitive,51,Male,TikTok,6,6,4,5,6,6,5,6,5,2,5,1,4,1,5,2,5,2,1,3,2,4,1,1,2
82,InstrumentalHarm,EnemySpy,ConsistentlyUtilitarian,MorallyRelevant_First,ConsistentlyUtilitarian_NormativelySensitive_NonNormativelySensitive_ConsistentlyDeontological,42,Female,TikTok,4,3,2,4,5,6,5,6,2,4,4,3,6,1,3,2,6,2,2,3,1,4,3,3,6
83,InstrumentalHarm,EnemySpy,ConsistentlyUtilitarian,MorallyRelevant_First,ConsistentlyDeontological_NonNormativelySensitive_ConsistentlyUtilitarian_NormativelySensitive,20,Male,TikTok,5,4,2,5,5,3,3,5,6,6,3,4,2,5,3,2,6,5,3,4,1,2,6,5,7
84,InstrumentalHarm,EnemySpy,NonNormativelySensitive,MorallyRelevant_First,ConsistentlyUtilitarian_NormativelySensitive_ConsistentlyDeontological_NonNormativelySensitive,28,Female,TikTok,7,7,7,7,3,3,4,4,3,1,7,4,5,2,7,3,5,1,1,3,2,4,1,2,2
85,InstrumentalHarm,EnemySpy,ConsistentlyUtilitarian,MorallyRelevant_First,ConsistentlyDeontological_NonNormativelySensitive_ConsistentlyUtilitarian_NormativelySensitive,72,Male,TikTok,2,2,4,3,2,2,1,2,1,1,5,2,4,2,6,1,6,5,2,4,1,3,1,1,5
86,InstrumentalHarm,Hostage,NonNormativelySensitive,MorallyIrrelevant_First,ConsistentlyDeontological_NonNormativelySensitive_ConsistentlyUtilitarian_NormativelySensitive,22,Female,TikTok,4,3,3,4,2,2,2,1,3,3,5,5,6,1,3,5,4,5,3,2,1,4,4,4,5
87,InstrumentalHarm,EnemySpy,NormativelySensitive,MorallyIrrelevant_First,NonNormativelySensitive_NormativelySensitive_ConsistentlyDeontological_ConsistentlyUtilitarian,31,Female,TikTok,4,6,5,5,6,6,5,5,4,1,5,3,4,1,2,2,5,7,3,4,2,1,4,4,6
88,InstrumentalHarm,EnemySpy,NonNormativelySensitive,MorallyIrrelevant_First,NonNormativelySensitive_NormativelySensitive_ConsistentlyUtilitarian_ConsistentlyDeontological,41,Male,TikTok,4,4,3,3,2,1,2,1,2,1,3,6,4,1,2,6,5,1,3,4,2,1,6,6,7
89,InstrumentalHarm,EnemySpy,NonNormativelySensitive,MorallyIrrelevant_First,ConsistentlyDeontological_ConsistentlyUtilitarian_NonNormativelySensitive_NormativelySensitive,52,Female,TikTok,3,3,4,3,2,2,2,2,5,5,6,6,6,1,4,3,4,6,3,4,2,1,2,2,4
90,InstrumentalHarm,Bomb,NormativelySensitive,MorallyRelevant_First,NormativelySensitive_NonNormativelySensitive_ConsistentlyUtilitarian_ConsistentlyDeontological,25,Male,TikTok,4,4,4,4,3,3,3,3,6,1,6,4,3,1,4,7,4,7,4,2,3,1,3,3,3
